Epoch: 5, Train Loss: 0.064, Train Acc: 0.981
Epoch: 5, Valid Loss: 0.054, Valid Acc: 0.982
Epoch: 6, Train Loss: 0.058, Train Acc: 0.982
Epoch: 6, Valid Loss: 0.052, Valid Acc: 0.985
Epoch: 7, Train Loss: 0.052, Train Acc: 0.984
Epoch: 7, Valid Loss: 0.052, Valid Acc: 0.984
Epoch: 8, Train Loss: 0.050, Train Acc: 0.985
Epoch: 8, Valid Loss: 0.044, Valid Acc: 0.986
Epoch: 9, Train Loss: 0.046, Train Acc: 0.985
Epoch: 9, Valid Loss: 0.045, Valid Acc: 0.985
Epoch: 10, Train Loss: 0.045, Train Acc: 0.986
Epoch: 10, Valid Loss: 0.041, Valid Acc: 0.988
Epoch: 11, Train Loss: 0.040, Train Acc: 0.987
Epoch: 11, Valid Loss: 0.042, Valid Acc: 0.986
Epoch: 12, Train Loss: 0.040, Train Acc: 0.987
Epoch: 12, Valid Loss: 0.044, Valid Acc: 0.987
Epoch: 13, Train Loss: 0.039, Train Acc: 0.989
Epoch: 13, Valid Loss: 0.041, Valid Acc: 0.987
Epoch: 14, Train Loss: 0.037, Train Acc: 0.988
Epoch: 14, Valid Loss: 0.038, Valid Acc: 0.989
Epoch: 15, Train Loss: 0.034, Train Acc: 0.989
Epoch: 15, Valid Loss: 0.039, Valid Acc: 0.987
Epoch: 16, Train Loss: 0.035, Train Acc: 0.989
Epoch: 16, Valid Loss: 0.040, Valid Acc: 0.987
Epoch: 17, Train Loss: 0.033, Train Acc: 0.990
Epoch: 17, Valid Loss: 0.037, Valid Acc: 0.988
Epoch: 18, Train Loss: 0.032, Train Acc: 0.990
Epoch: 18, Valid Loss: 0.040, Valid Acc: 0.988
Epoch: 19, Train Loss: 0.031, Train Acc: 0.990
Epoch: 19, Valid Loss: 0.038, Valid Acc: 0.987
Epoch: 20, Train Loss: 0.029, Train Acc: 0.991
Epoch: 20, Valid Loss: 0.037, Valid Acc: 0.988
valid acc:  0.9883
Run Params: {'lr': 0.007191, 'batch_size': 951}
Epoch: 1, Train Loss: 0.383, Train Acc: 0.879
Epoch: 1, Valid Loss: 0.119, Valid Acc: 0.966
Epoch: 2, Train Loss: 0.106, Train Acc: 0.968
Epoch: 2, Valid Loss: 0.084, Valid Acc: 0.973
Epoch: 3, Train Loss: 0.085, Train Acc: 0.974
Epoch: 3, Valid Loss: 0.069, Valid Acc: 0.978
Epoch: 4, Train Loss: 0.073, Train Acc: 0.978
Epoch: 4, Valid Loss: 0.073, Valid Acc: 0.979
Epoch: 5, Train Loss: 0.067, Train Acc: 0.980
Epoch: 5, Valid Loss: 0.065, Valid Acc: 0.982
