Epoch: 16, Train Loss: 0.136, Train Acc: 0.960
Epoch: 16, Valid Loss: 0.125, Valid Acc: 0.964
Epoch: 17, Train Loss: 0.132, Train Acc: 0.961
Epoch: 17, Valid Loss: 0.123, Valid Acc: 0.964
Epoch: 18, Train Loss: 0.126, Train Acc: 0.962
Epoch: 18, Valid Loss: 0.114, Valid Acc: 0.966
Epoch: 19, Train Loss: 0.121, Train Acc: 0.964
Epoch: 19, Valid Loss: 0.108, Valid Acc: 0.969
Epoch: 20, Train Loss: 0.117, Train Acc: 0.965
Epoch: 20, Valid Loss: 0.106, Valid Acc: 0.968
valid acc:  0.9676
Run Params: {'lr': 0.000948, 'batch_size': 532}
Epoch: 1, Train Loss: 0.451, Train Acc: 0.864
Epoch: 1, Valid Loss: 0.145, Valid Acc: 0.958
Epoch: 2, Train Loss: 0.123, Train Acc: 0.964
Epoch: 2, Valid Loss: 0.093, Valid Acc: 0.973
Epoch: 3, Train Loss: 0.088, Train Acc: 0.974
Epoch: 3, Valid Loss: 0.072, Valid Acc: 0.978
Epoch: 4, Train Loss: 0.071, Train Acc: 0.978
Epoch: 4, Valid Loss: 0.066, Valid Acc: 0.980
Epoch: 5, Train Loss: 0.064, Train Acc: 0.980
Epoch: 5, Valid Loss: 0.057, Valid Acc: 0.983
Epoch: 6, Train Loss: 0.056, Train Acc: 0.983
Epoch: 6, Valid Loss: 0.050, Valid Acc: 0.985
Epoch: 7, Train Loss: 0.052, Train Acc: 0.984
Epoch: 7, Valid Loss: 0.053, Valid Acc: 0.983
Epoch: 8, Train Loss: 0.047, Train Acc: 0.986
Epoch: 8, Valid Loss: 0.048, Valid Acc: 0.985
Epoch: 9, Train Loss: 0.045, Train Acc: 0.986
Epoch: 9, Valid Loss: 0.045, Valid Acc: 0.986
Epoch: 10, Train Loss: 0.043, Train Acc: 0.987
Epoch: 10, Valid Loss: 0.045, Valid Acc: 0.985
Epoch: 11, Train Loss: 0.040, Train Acc: 0.987
Epoch: 11, Valid Loss: 0.048, Valid Acc: 0.985
Epoch: 12, Train Loss: 0.039, Train Acc: 0.988
