Epoch: 2, Valid Loss: 0.126, Valid Acc: 0.964
Epoch: 3, Train Loss: 0.116, Train Acc: 0.966
Epoch: 3, Valid Loss: 0.092, Valid Acc: 0.973
Epoch: 4, Train Loss: 0.092, Train Acc: 0.972
Epoch: 4, Valid Loss: 0.082, Valid Acc: 0.976
Epoch: 5, Train Loss: 0.080, Train Acc: 0.975
Epoch: 5, Valid Loss: 0.076, Valid Acc: 0.978
Epoch: 6, Train Loss: 0.070, Train Acc: 0.979
Epoch: 6, Valid Loss: 0.064, Valid Acc: 0.981
Epoch: 7, Train Loss: 0.066, Train Acc: 0.980
Epoch: 7, Valid Loss: 0.061, Valid Acc: 0.982
Epoch: 8, Train Loss: 0.061, Train Acc: 0.981
Epoch: 8, Valid Loss: 0.061, Valid Acc: 0.981
Epoch: 9, Train Loss: 0.057, Train Acc: 0.982
Epoch: 9, Valid Loss: 0.052, Valid Acc: 0.983
Epoch: 10, Train Loss: 0.054, Train Acc: 0.984
Epoch: 10, Valid Loss: 0.051, Valid Acc: 0.984
Epoch: 11, Train Loss: 0.052, Train Acc: 0.985
Epoch: 11, Valid Loss: 0.053, Valid Acc: 0.984
Epoch: 12, Train Loss: 0.047, Train Acc: 0.986
Epoch: 12, Valid Loss: 0.048, Valid Acc: 0.985
Epoch: 13, Train Loss: 0.048, Train Acc: 0.985
Epoch: 13, Valid Loss: 0.045, Valid Acc: 0.986
Epoch: 14, Train Loss: 0.044, Train Acc: 0.986
Epoch: 14, Valid Loss: 0.047, Valid Acc: 0.987
Epoch: 15, Train Loss: 0.043, Train Acc: 0.987
Epoch: 15, Valid Loss: 0.046, Valid Acc: 0.987
valid acc:  0.9865
Run Params: {'lr': 0.000707, 'batch_size': 1175}
Epoch: 1, Train Loss: 0.835, Train Acc: 0.749
Epoch: 1, Valid Loss: 0.291, Valid Acc: 0.916
Epoch: 2, Train Loss: 0.220, Train Acc: 0.935
Epoch: 2, Valid Loss: 0.169, Valid Acc: 0.953
Epoch: 3, Train Loss: 0.151, Train Acc: 0.955
Epoch: 3, Valid Loss: 0.134, Valid Acc: 0.963
Epoch: 4, Train Loss: 0.121, Train Acc: 0.964
Epoch: 4, Valid Loss: 0.108, Valid Acc: 0.970
Epoch: 5, Train Loss: 0.102, Train Acc: 0.969
Epoch: 5, Valid Loss: 0.092, Valid Acc: 0.973
Epoch: 6, Train Loss: 0.092, Train Acc: 0.973
Epoch: 6, Valid Loss: 0.084, Valid Acc: 0.976
Epoch: 7, Train Loss: 0.086, Train Acc: 0.975
Epoch: 7, Valid Loss: 0.081, Valid Acc: 0.976
Epoch: 8, Train Loss: 0.078, Train Acc: 0.976
Epoch: 8, Valid Loss: 0.074, Valid Acc: 0.979
Epoch: 9, Train Loss: 0.072, Train Acc: 0.977
Epoch: 9, Valid Loss: 0.073, Valid Acc: 0.980
Epoch: 10, Train Loss: 0.066, Train Acc: 0.980
