,function,run,seed,algo,func_val,pop_size,max_iter,best_iter
214,SumOfDifferentPower,4,300,PSO,15627455.798767798,40,20,20
215,SumOfDifferentPower,4,300,BBO,810612334.2190927,40,20,20
216,SumOfDifferentPower,5,972,NormGA,329678913.1927103,40,20,20
217,SumOfDifferentPower,5,972,imprvGA,2985699.4130529677,40,20,20
218,SumOfDifferentPower,5,972,PSO,16675352683.29842,40,20,20
219,SumOfDifferentPower,5,972,BBO,72206266920.64348,40,20,20
220,Griewank,1,718,NormGA,0.17658845943620816,40,20,20
221,Griewank,1,718,imprvGA,0.11777588161470232,40,20,20
222,Griewank,1,718,PSO,-0.04834726429234726,40,20,20
223,Griewank,1,718,BBO,0.607677480437696,40,20,20
224,Griewank,2,94,NormGA,0.12828931881734906,40,20,20
225,Griewank,2,94,imprvGA,0.12806862718909368,40,20,20
226,Griewank,2,94,PSO,0.164636635781224,40,20,20
227,Griewank,2,94,BBO,0.5309112733648742,40,20,20
228,Griewank,3,794,NormGA,0.2059772092844735,40,20,20
229,Griewank,3,794,imprvGA,-0.3621189994625903,40,20,20
230,Griewank,3,794,PSO,0.4459027200904291,40,20,20
231,Griewank,3,794,BBO,0.39025130661402163,40,20,20
232,Griewank,4,300,NormGA,0.17920238789639678,40,20,20
233,Griewank,4,300,imprvGA,0.15421096735936934,40,20,20
234,Griewank,4,300,PSO,0.16543465608302843,40,20,20
235,Griewank,4,300,BBO,0.19222265979644615,40,20,20
236,Griewank,5,972,NormGA,0.03530757471348216,40,20,20
237,Griewank,5,972,imprvGA,0.08706472670977237,40,20,20
238,Griewank,5,972,PSO,0.17130673974292987,40,20,20
239,Griewank,5,972,BBO,0.4000410495014853,40,20,20
240,Michalewicz,1,718,NormGA,-6.033765930390517,40,20,20
241,Michalewicz,1,718,imprvGA,-4.814786251628054,40,20,20
242,Michalewicz,1,718,PSO,-2.8989227064822494,40,20,20
243,Michalewicz,1,718,BBO,-5.035015056163573,40,20,20
244,Michalewicz,2,94,NormGA,-5.569386247498429,40,20,20
245,Michalewicz,2,94,imprvGA,-6.204134212403334,40,20,20
246,Michalewicz,2,94,PSO,-2.339495786878017,40,20,20
247,Michalewicz,2,94,BBO,-5.356615188580162,40,20,20
248,Michalewicz,3,794,NormGA,-5.598135154254201,40,20,20
249,Michalewicz,3,794,imprvGA,-4.992977989511681,40,20,20
250,Michalewicz,3,794,PSO,-2.437044025980765,40,20,20
251,Michalewicz,3,794,BBO,-5.384266357619627,40,20,20
252,Michalewicz,4,300,NormGA,-6.909868366943836,40,20,20
253,Michalewicz,4,300,imprvGA,-5.498761205728093,40,20,20
254,Michalewicz,4,300,PSO,-2.6265772448012825,40,20,20
255,Michalewicz,4,300,BBO,-5.373047031201877,40,20,20
256,Michalewicz,5,972,NormGA,-7.107800980939956,40,20,20
257,Michalewicz,5,972,imprvGA,-5.613009362295821,40,20,20
258,Michalewicz,5,972,PSO,-3.309919858448848,40,20,20
259,Michalewicz,5,972,BBO,-6.130470514150819,40,20,20
260,Rastrigin,1,718,NormGA,1698.5880617465523,40,20,20
261,Rastrigin,1,718,imprvGA,408.52961341981387,40,20,20
262,Rastrigin,1,718,PSO,1153.4622057645047,40,20,20
263,Rastrigin,1,718,BBO,2502.641845753027,40,20,20
264,Rastrigin,2,94,NormGA,567.6956763899682,40,20,20
265,Rastrigin,2,94,imprvGA,541.7174170855507,40,20,20
266,Rastrigin,2,94,PSO,1181.35867720896,40,20,20
267,Rastrigin,2,94,BBO,2351.868037009482,40,20,20
268,Rastrigin,3,794,NormGA,701.9950367908064,40,20,20
269,Rastrigin,3,794,imprvGA,406.14833353998387,40,20,20
270,Rastrigin,3,794,PSO,920.040915250523,40,20,20
271,Rastrigin,3,794,BBO,2206.6602027985755,40,20,20
272,Rastrigin,4,300,NormGA,607.5172935337923,40,20,20
273,Rastrigin,4,300,imprvGA,376.5834329954545,40,20,20
274,Rastrigin,4,300,PSO,994.6087130150032,40,20,20
275,Rastrigin,4,300,BBO,1543.6602027985753,40,20,20
276,Rastrigin,5,972,NormGA,587.5781881363133,40,20,20
277,Rastrigin,5,972,imprvGA,744.470507096895,40,20,20
278,Rastrigin,5,972,PSO,412.03699152159254,40,20,20
279,Rastrigin,5,972,BBO,1718.6602027985753,40,20,20
280,Schwefel,1,718,NormGA,-606.9865677147109,40,20,20
281,Schwefel,1,718,imprvGA,-563.0560763645343,40,20,20
282,Schwefel,1,718,PSO,-486.52905527602456,40,20,20
283,Schwefel,1,718,BBO,-594.4847474887598,40,20,20
284,Schwefel,2,94,NormGA,-566.1472347439825,40,20,20
285,Schwefel,2,94,imprvGA,-546.149570071313,40,20,20
286,Schwefel,2,94,PSO,-551.0813050427292,40,20,20
287,Schwefel,2,94,BBO,-572.0225722563207,40,20,20
288,Schwefel,3,794,NormGA,-591.4720702849113,40,20,20
289,Schwefel,3,794,imprvGA,-526.9740325732464,40,20,20
290,Schwefel,3,794,PSO,-414.84392059931287,40,20,20
291,Schwefel,3,794,BBO,-585.6368351600923,40,20,20
292,Schwefel,4,300,NormGA,-536.6061315299328,40,20,20
293,Schwefel,4,300,imprvGA,-581.7879965231381,40,20,20
294,Schwefel,4,300,PSO,-436.0998827100639,40,20,20
295,Schwefel,4,300,BBO,-556.4515807883981,40,20,20
296,Schwefel,5,972,NormGA,-525.0668971764871,40,20,20
297,Schwefel,5,972,imprvGA,-543.923117168501,40,20,20
298,Schwefel,5,972,PSO,-449.74878985145995,40,20,20
299,Schwefel,5,972,BBO,-555.9005180207641,40,20,20
300,XinSheYang,1,718,NormGA,0.022071167492270876,40,20,20
301,XinSheYang,1,718,imprvGA,0.03618915584070286,40,20,20
302,XinSheYang,1,718,PSO,0.47544841552442835,40,20,20
303,XinSheYang,1,718,BBO,0.023466280436836892,40,20,20
304,XinSheYang,2,94,NormGA,0.022467550844149375,40,20,20
305,XinSheYang,2,94,imprvGA,0.022578052034098964,40,20,20
306,XinSheYang,2,94,PSO,0.24540600814184818,40,20,20
307,XinSheYang,2,94,BBO,0.04047458943094115,40,20,20
308,XinSheYang,3,794,NormGA,0.026097130109808225,40,20,20
309,XinSheYang,3,794,imprvGA,0.08199594500149414,40,20,20
310,XinSheYang,3,794,PSO,0.47336095566790687,40,20,20
311,XinSheYang,3,794,BBO,0.05975246150809556,40,20,20
312,XinSheYang,4,300,NormGA,0.02584864215958735,40,20,20
313,XinSheYang,4,300,imprvGA,0.038584250172220724,40,20,20
314,XinSheYang,4,300,PSO,0.33428335881037663,40,20,20
315,XinSheYang,4,300,BBO,0.04184611733037953,40,20,20
316,XinSheYang,5,972,NormGA,0.037337341628409196,40,20,20
317,XinSheYang,5,972,imprvGA,0.06508459433632373,40,20,20
318,XinSheYang,5,972,PSO,0.22336209562505596,40,20,20
319,XinSheYang,5,972,BBO,0.03249382870627581,40,20,20
320,Zakharov,1,718,NormGA,15.807222631966324,40,20,20
321,Zakharov,1,718,imprvGA,-112.16295904347177,40,20,20
322,Zakharov,1,718,PSO,156.64411330167218,40,20,20
323,Zakharov,1,718,BBO,-4.504677067020168,40,20,20
324,Zakharov,2,94,NormGA,9.832503979849811,40,20,20
325,Zakharov,2,94,imprvGA,-19.785032114434227,40,20,20
326,Zakharov,2,94,PSO,107.8852412652037,40,20,20
327,Zakharov,2,94,BBO,-47.781212178548294,40,20,20
328,Zakharov,3,794,NormGA,-129.12951339119934,40,20,20
329,Zakharov,3,794,imprvGA,45.23435453540468,40,20,20
330,Zakharov,3,794,PSO,-41.00548699542437,40,20,20
331,Zakharov,3,794,BBO,-54.0,40,20,20
332,Zakharov,4,300,NormGA,63.41793289157499,40,20,20
333,Zakharov,4,300,imprvGA,-32.09670862617602,40,20,20
334,Zakharov,4,300,PSO,107.38517282580719,40,20,20
335,Zakharov,4,300,BBO,7.165938941777968,40,20,20
336,Zakharov,5,972,NormGA,-123.22296690159787,40,20,20
337,Zakharov,5,972,imprvGA,-18.77423294546121,40,20,20
338,Zakharov,5,972,PSO,26.272104388329545,40,20,20
339,Zakharov,5,972,BBO,29.959043039183044,40,20,20
